;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1;Vec_N-Gram
86;FFNN (Updated);prep_full;SMOTE (Oversampling);BoW;(1, 2);42033;0.7135416666666666;0.6597476283259823;"BoW
(1, 2)"
87;FFNN (Updated);prep_full;SMOTE (Oversampling);TF-IDF;(1, 2);42033;0.728125;0.6658002732767322;"TF-IDF
(1, 2)"
88;Naive Bayes;prep_full;SMOTETomek (Combined);BoW;(1, 2);42033;0.7166666666666667;0.6372380518641116;"BoW
(1, 2)"
89;Naive Bayes;prep_full;SMOTETomek (Combined);TF-IDF;(1, 2);42033;0.6770833333333334;0.6295090204793709;"TF-IDF
(1, 2)"
90;FFNN (Updated);prep_full;SMOTETomek (Combined);BoW;(1, 2);42033;0.7125;0.6589711328475277;"BoW
(1, 2)"
91;FFNN (Updated);prep_full;SMOTETomek (Combined);TF-IDF;(1, 2);42033;0.734375;0.6739127772098655;"TF-IDF
(1, 2)"
92;Naive Bayes;prep_full;Tomek (Undersampling);BoW;(1, 2);42033;0.7375;0.6382163693654731;"BoW
(1, 2)"
93;Naive Bayes;prep_full;Tomek (Undersampling);TF-IDF;(1, 2);42033;0.684375;0.46460700398696075;"TF-IDF
(1, 2)"
94;FFNN (Updated);prep_full;Tomek (Undersampling);BoW;(1, 2);42033;0.7458333333333333;0.6802204485959384;"BoW
(1, 2)"
95;FFNN (Updated);prep_full;Tomek (Undersampling);TF-IDF;(1, 2);42033;0.7625;0.7069004036009113;"TF-IDF
(1, 2)"
96;Naive Bayes;prep_full;None (Imbalanced);BoW;(1, 3);76718;0.7291666666666666;0.6246351340799955;"BoW
(1, 3)"
97;Naive Bayes;prep_full;None (Imbalanced);TF-IDF;(1, 3);76718;0.6770833333333334;0.4567746545069835;"TF-IDF
(1, 3)"
98;FFNN (Updated);prep_full;None (Imbalanced);BoW;(1, 3);76718;0.775;0.7141160181841936;"BoW
(1, 3)"
99;FFNN (Updated);prep_full;None (Imbalanced);TF-IDF;(1, 3);76718;0.7479166666666667;0.7048336649718526;"TF-IDF
(1, 3)"
100;Naive Bayes;prep_full;SMOTE (Oversampling);BoW;(1, 3);76718;0.7260416666666667;0.6470886754288268;"BoW
(1, 3)"
101;Naive Bayes;prep_full;SMOTE (Oversampling);TF-IDF;(1, 3);76718;0.6854166666666667;0.6371407072101105;"TF-IDF
(1, 3)"
102;FFNN (Updated);prep_full;SMOTE (Oversampling);BoW;(1, 3);76718;0.7083333333333334;0.6380498565076685;"BoW
(1, 3)"
103;FFNN (Updated);prep_full;SMOTE (Oversampling);TF-IDF;(1, 3);76718;0.74375;0.6846745414183267;"TF-IDF
(1, 3)"
104;Naive Bayes;prep_full;SMOTETomek (Combined);BoW;(1, 3);76718;0.7270833333333333;0.6478275139371797;"BoW
(1, 3)"
105;Naive Bayes;prep_full;SMOTETomek (Combined);TF-IDF;(1, 3);76718;0.6854166666666667;0.6371407072101105;"TF-IDF
(1, 3)"
106;FFNN (Updated);prep_full;SMOTETomek (Combined);BoW;(1, 3);76718;0.71875;0.6701090275244694;"BoW
(1, 3)"
107;FFNN (Updated);prep_full;SMOTETomek (Combined);TF-IDF;(1, 3);76718;0.7427083333333333;0.6914980971962824;"TF-IDF
(1, 3)"
108;Naive Bayes;prep_full;Tomek (Undersampling);BoW;(1, 3);76718;0.7302083333333333;0.6258839782023132;"BoW
(1, 3)"
109;Naive Bayes;prep_full;Tomek (Undersampling);TF-IDF;(1, 3);76718;0.6770833333333334;0.4567746545069835;"TF-IDF
(1, 3)"
110;FFNN (Updated);prep_full;Tomek (Undersampling);BoW;(1, 3);76718;0.75625;0.7001478578256529;"BoW
(1, 3)"
111;FFNN (Updated);prep_full;Tomek (Undersampling);TF-IDF;(1, 3);76718;0.7395833333333334;0.6780767662647795;"TF-IDF
(1, 3)"
112;Naive Bayes;prep_full;None (Imbalanced);BoW;(1, 4);108930;0.7333333333333333;0.6270967566316878;"BoW
(1, 4)"
113;Naive Bayes;prep_full;None (Imbalanced);TF-IDF;(1, 4);108930;0.6708333333333333;0.4421719721547635;"TF-IDF
(1, 4)"
114;FFNN (Updated);prep_full;None (Imbalanced);BoW;(1, 4);108930;0.7770833333333333;0.7235796328507854;"BoW
(1, 4)"
115;FFNN (Updated);prep_full;None (Imbalanced);TF-IDF;(1, 4);108930;0.75625;0.6869755773255138;"TF-IDF
(1, 4)"
