Model,Sampling Strategy,Strategy,Vec_N_Gram_Label,Macro-F1,Accuracy,Is_Local_Winner
Naive Bayes,SMOTE (Oversampling),prep_full,"TF-IDF (1, 3)",0.6283974652086116,0.6690721649484536,0
FFNN (Updated),SMOTE (Oversampling),prep_full,"BoW (1, 3)",0.6500298536004743,0.6938144329896907,0
FFNN (Updated),SMOTE (Oversampling),prep_full,"TF-IDF (1, 3)",0.6738473951113231,0.7061855670103093,0
Naive Bayes,SMOTETomek (Combined),prep_full,"BoW (1, 3)",0.6466201455069219,0.7154639175257732,0
Naive Bayes,SMOTETomek (Combined),prep_full,"TF-IDF (1, 3)",0.629468316998005,0.6690721649484536,0
FFNN (Updated),SMOTETomek (Combined),prep_full,"BoW (1, 3)",0.6298912054789246,0.6721649484536083,0
FFNN (Updated),SMOTETomek (Combined),prep_full,"TF-IDF (1, 3)",0.682903836143215,0.7082474226804124,0
Naive Bayes,Tomek (Undersampling),prep_full,"BoW (1, 3)",0.6576351536914977,0.7371134020618557,0
Naive Bayes,Tomek (Undersampling),prep_full,"TF-IDF (1, 3)",0.4578081412771909,0.6659793814432989,0
FFNN (Updated),Tomek (Undersampling),prep_full,"BoW (1, 3)",0.7017868557831006,0.7443298969072165,0
FFNN (Updated),Tomek (Undersampling),prep_full,"TF-IDF (1, 3)",0.6867871560438812,0.7329896907216494,0
Naive Bayes,None (Imbalanced),prep_full,"BoW (1, 4)",0.6490543889723958,0.7360824742268042,0
Naive Bayes,None (Imbalanced),prep_full,"TF-IDF (1, 4)",0.41437351596287425,0.6597938144329897,0
FFNN (Updated),None (Imbalanced),prep_full,"BoW (1, 4)",0.7007192050906251,0.7474226804123711,0
FFNN (Updated),None (Imbalanced),prep_full,"TF-IDF (1, 4)",0.6918561422980302,0.7329896907216494,0
Naive Bayes,SMOTE (Oversampling),prep_full,"BoW (1, 4)",0.6434603998484256,0.7164948453608248,0
Naive Bayes,SMOTE (Oversampling),prep_full,"TF-IDF (1, 4)",0.6318840010531911,0.6711340206185566,0
FFNN (Updated),SMOTE (Oversampling),prep_full,"BoW (1, 4)",0.634969578829228,0.6762886597938145,0
FFNN (Updated),SMOTE (Oversampling),prep_full,"TF-IDF (1, 4)",0.6924957208877162,0.7247422680412371,0
Naive Bayes,SMOTETomek (Combined),prep_full,"BoW (1, 4)",0.6434603998484256,0.7164948453608248,0
Naive Bayes,SMOTETomek (Combined),prep_full,"TF-IDF (1, 4)",0.6318840010531911,0.6711340206185566,0
FFNN (Updated),SMOTETomek (Combined),prep_full,"BoW (1, 4)",0.6521481963649686,0.6907216494845361,0
FFNN (Updated),SMOTETomek (Combined),prep_full,"TF-IDF (1, 4)",0.664010864464079,0.6938144329896907,0
Naive Bayes,Tomek (Undersampling),prep_full,"BoW (1, 4)",0.6483443022210698,0.7350515463917526,0
Naive Bayes,Tomek (Undersampling),prep_full,"TF-IDF (1, 4)",0.4465424247976469,0.6618556701030928,0
FFNN (Updated),Tomek (Undersampling),prep_full,"BoW (1, 4)",0.7153510137860312,0.7546391752577319,0
FFNN (Updated),Tomek (Undersampling),prep_full,"TF-IDF (1, 4)",0.6845193211692854,0.7350515463917526,0
Naive Bayes,None (Imbalanced),prep_masked,"BoW (1, 1)",0.6662049784783516,0.7175257731958763,0
Naive Bayes,None (Imbalanced),prep_masked,"TF-IDF (1, 1)",0.5026851062486186,0.7010309278350515,0
FFNN (Updated),None (Imbalanced),prep_masked,"BoW (1, 1)",0.6885036805487269,0.7278350515463917,0
FFNN (Updated),None (Imbalanced),prep_masked,"TF-IDF (1, 1)",0.6946890452776754,0.7381443298969073,0
Naive Bayes,SMOTE (Oversampling),prep_masked,"BoW (1, 1)",0.6067664102780994,0.6618556701030928,0
Naive Bayes,SMOTE (Oversampling),prep_masked,"TF-IDF (1, 1)",0.6302341871767819,0.6690721649484536,0
FFNN (Updated),SMOTE (Oversampling),prep_masked,"BoW (1, 1)",0.6489763905493086,0.6783505154639176,0
FFNN (Updated),SMOTE (Oversampling),prep_masked,"TF-IDF (1, 1)",0.6885449753532885,0.7257731958762886,0
Naive Bayes,SMOTETomek (Combined),prep_masked,"BoW (1, 1)",0.6069600513519761,0.6628865979381443,0
Naive Bayes,SMOTETomek (Combined),prep_masked,"TF-IDF (1, 1)",0.628508632075072,0.668041237113402,0
FFNN (Updated),SMOTETomek (Combined),prep_masked,"BoW (1, 1)",0.6493409964142569,0.6907216494845361,0
FFNN (Updated),SMOTETomek (Combined),prep_masked,"TF-IDF (1, 1)",0.6967745348700379,0.7329896907216494,0
Naive Bayes,Tomek (Undersampling),prep_masked,"BoW (1, 1)",0.6657502668699337,0.7185567010309278,0
Naive Bayes,Tomek (Undersampling),prep_masked,"TF-IDF (1, 1)",0.5190899938360886,0.7010309278350515,0
FFNN (Updated),Tomek (Undersampling),prep_masked,"BoW (1, 1)",0.7103731440094468,0.7505154639175258,0
FFNN (Updated),Tomek (Undersampling),prep_masked,"TF-IDF (1, 1)",0.6893817714569401,0.7185567010309278,0
Naive Bayes,None (Imbalanced),prep_masked,"BoW (1, 2)",0.6674184686474757,0.7298969072164948,0
Naive Bayes,None (Imbalanced),prep_masked,"TF-IDF (1, 2)",0.5252456762979009,0.6948453608247422,0
FFNN (Updated),None (Imbalanced),prep_masked,"BoW (1, 2)",0.7136915329417376,0.7587628865979381,1
FFNN (Updated),None (Imbalanced),prep_masked,"TF-IDF (1, 2)",0.7008466894427032,0.7371134020618557,0
Naive Bayes,SMOTE (Oversampling),prep_masked,"BoW (1, 2)",0.6549891073672636,0.7061855670103093,0
Naive Bayes,SMOTE (Oversampling),prep_masked,"TF-IDF (1, 2)",0.6503502550139021,0.6835051546391753,0
FFNN (Updated),SMOTE (Oversampling),prep_masked,"BoW (1, 2)",0.6645843552918361,0.7082474226804124,0
FFNN (Updated),SMOTE (Oversampling),prep_masked,"TF-IDF (1, 2)",0.6878483879516873,0.7175257731958763,0
Naive Bayes,SMOTETomek (Combined),prep_masked,"BoW (1, 2)",0.6554907921031655,0.7072164948453609,0
Naive Bayes,SMOTETomek (Combined),prep_masked,"TF-IDF (1, 2)",0.6504358731088512,0.6835051546391753,0
FFNN (Updated),SMOTETomek (Combined),prep_masked,"BoW (1, 2)",0.659882467079446,0.6865979381443299,0
FFNN (Updated),SMOTETomek (Combined),prep_masked,"TF-IDF (1, 2)",0.7036307291590864,0.7350515463917526,1
Naive Bayes,Tomek (Undersampling),prep_masked,"BoW (1, 2)",0.6668399683105566,0.7309278350515463,1
Naive Bayes,Tomek (Undersampling),prep_masked,"TF-IDF (1, 2)",0.5311703479135482,0.6958762886597938,0
FFNN (Updated),Tomek (Undersampling),prep_masked,"BoW (1, 2)",0.714275461553084,0.7587628865979381,0
FFNN (Updated),Tomek (Undersampling),prep_masked,"TF-IDF (1, 2)",0.7126139036327537,0.7597938144329897,0
Naive Bayes,None (Imbalanced),prep_masked,"BoW (1, 3)",0.6673401192425773,0.7381443298969073,0
Naive Bayes,None (Imbalanced),prep_masked,"TF-IDF (1, 3)",0.5265182924455822,0.6938144329896907,0
FFNN (Updated),None (Imbalanced),prep_masked,"BoW (1, 3)",0.7135241421941102,0.7577319587628866,0
FFNN (Updated),None (Imbalanced),prep_masked,"TF-IDF (1, 3)",0.7129119963973571,0.7319587628865979,0
Naive Bayes,SMOTE (Oversampling),prep_masked,"BoW (1, 3)",0.6599943084964006,0.7154639175257732,0
Naive Bayes,SMOTE (Oversampling),prep_masked,"TF-IDF (1, 3)",0.6394702488828327,0.6701030927835051,0
FFNN (Updated),SMOTE (Oversampling),prep_masked,"BoW (1, 3)",0.6595139161032817,0.6969072164948453,0
FFNN (Updated),SMOTE (Oversampling),prep_masked,"TF-IDF (1, 3)",0.694395346020625,0.7216494845360825,0
Naive Bayes,SMOTETomek (Combined),prep_masked,"BoW (1, 3)",0.6593613800387256,0.7154639175257732,0
Naive Bayes,SMOTETomek (Combined),prep_masked,"TF-IDF (1, 3)",0.6381411061753108,0.6690721649484536,0
FFNN (Updated),SMOTETomek (Combined),prep_masked,"BoW (1, 3)",0.6562139969344011,0.6948453608247422,0
