;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1
66;FFNN (Updated);prep_full;Oversampling;BoW;(1, 4);107250;0.6969072164948453;0.6578634394937453
67;FFNN (Updated);prep_full;Oversampling;TF-IDF;(1, 4);107250;0.6989690721649484;0.6719242662465751
68;Naive Bayes;prep_full;Over+Undersampling;BoW;(1, 4);107250;0.7164948453608248;0.6434603998484256
69;Naive Bayes;prep_full;Over+Undersampling;TF-IDF;(1, 4);107250;0.6711340206185566;0.6318840010531911
70;FFNN (Updated);prep_full;Over+Undersampling;BoW;(1, 4);107250;0.6556701030927835;0.6324153799208101
71;FFNN (Updated);prep_full;Over+Undersampling;TF-IDF;(1, 4);107250;0.7206185567010309;0.6826978581352766
72;Naive Bayes;prep_full;Oversampling;BoW;(1, 5);135088;0.7247422680412371;0.6546703150304068
73;Naive Bayes;prep_full;Oversampling;TF-IDF;(1, 5);135088;0.6752577319587629;0.6356099989405916
74;FFNN (Updated);prep_full;Oversampling;BoW;(1, 5);135088;0.6969072164948453;0.6575961314217076
75;FFNN (Updated);prep_full;Oversampling;TF-IDF;(1, 5);135088;0.7051546391752578;0.6851381931114129
76;Naive Bayes;prep_full;Over+Undersampling;BoW;(1, 5);135088;0.7237113402061855;0.6534505187066825
77;Naive Bayes;prep_full;Over+Undersampling;TF-IDF;(1, 5);135088;0.6752577319587629;0.6356099989405916
78;FFNN (Updated);prep_full;Over+Undersampling;BoW;(1, 5);135088;0.6814432989690722;0.652077994224938
79;FFNN (Updated);prep_full;Over+Undersampling;TF-IDF;(1, 5);135088;0.6969072164948453;0.6663768695626692
80;Naive Bayes;prep_masked;Oversampling;BoW;(1, 1);7261;0.6618556701030928;0.6067664102780994
81;Naive Bayes;prep_masked;Oversampling;TF-IDF;(1, 1);7261;0.6690721649484536;0.6302341871767819
82;FFNN (Updated);prep_masked;Oversampling;BoW;(1, 1);7261;0.6896907216494845;0.658444336814567
83;FFNN (Updated);prep_masked;Oversampling;TF-IDF;(1, 1);7261;0.7154639175257732;0.6796066739769179
84;Naive Bayes;prep_masked;Over+Undersampling;BoW;(1, 1);7261;0.6628865979381443;0.6069600513519761
85;Naive Bayes;prep_masked;Over+Undersampling;TF-IDF;(1, 1);7261;0.668041237113402;0.628508632075072
86;FFNN (Updated);prep_masked;Over+Undersampling;BoW;(1, 1);7261;0.6907216494845361;0.6500020614306329
87;FFNN (Updated);prep_masked;Over+Undersampling;TF-IDF;(1, 1);7261;0.7144329896907217;0.6748676186270964
88;Naive Bayes;prep_masked;Oversampling;BoW;(1, 2);36185;0.7061855670103093;0.6549891073672636
89;Naive Bayes;prep_masked;Oversampling;TF-IDF;(1, 2);36185;0.6835051546391753;0.6503502550139021
90;FFNN (Updated);prep_masked;Oversampling;BoW;(1, 2);36185;0.7144329896907217;0.6624515832494318
91;FFNN (Updated);prep_masked;Oversampling;TF-IDF;(1, 2);36185;0.7350515463917526;0.7064399120193373
92;Naive Bayes;prep_masked;Over+Undersampling;BoW;(1, 2);36185;0.7072164948453609;0.6554907921031655
93;Naive Bayes;prep_masked;Over+Undersampling;TF-IDF;(1, 2);36185;0.6835051546391753;0.6504358731088512
94;FFNN (Updated);prep_masked;Over+Undersampling;BoW;(1, 2);36185;0.7206185567010309;0.6817580228196708
95;FFNN (Updated);prep_masked;Over+Undersampling;TF-IDF;(1, 2);36185;0.7391752577319588;0.7033761043153955
96;Naive Bayes;prep_masked;Oversampling;BoW;(1, 3);68161;0.7154639175257732;0.6599943084964006
97;Naive Bayes;prep_masked;Oversampling;TF-IDF;(1, 3);68161;0.6701030927835051;0.6394702488828327
98;FFNN (Updated);prep_masked;Oversampling;BoW;(1, 3);68161;0.7082474226804124;0.6637007565340743
99;FFNN (Updated);prep_masked;Oversampling;TF-IDF;(1, 3);68161;0.7422680412371134;0.7177196694768161
100;Naive Bayes;prep_masked;Over+Undersampling;BoW;(1, 3);68161;0.7154639175257732;0.6593613800387256
101;Naive Bayes;prep_masked;Over+Undersampling;TF-IDF;(1, 3);68161;0.6690721649484536;0.6381411061753108
