;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1;Vec_N-Gram
64;Naive Bayes;prep_full;None (Imbalanced);BoW;(1, 1);9411;0.7190775681341719;0.6325386104096503;"BoW
(1, 1)"
65;Naive Bayes;prep_full;None (Imbalanced);TF-IDF;(1, 1);9411;0.689727463312369;0.4721295250344167;"TF-IDF
(1, 1)"
66;FFNN (Updated);prep_full;None (Imbalanced);BoW;(1, 1);9411;0.750524109014675;0.7042389658363132;"BoW
(1, 1)"
67;FFNN (Updated);prep_full;None (Imbalanced);TF-IDF;(1, 1);9411;0.7253668763102725;0.6707781158009419;"TF-IDF
(1, 1)"
68;Naive Bayes;prep_full;SMOTE (Oversampling);BoW;(1, 1);9411;0.6823899371069182;0.6225705879213446;"BoW
(1, 1)"
69;Naive Bayes;prep_full;SMOTE (Oversampling);TF-IDF;(1, 1);9411;0.6593291404612159;0.6197618155803634;"TF-IDF
(1, 1)"
70;FFNN (Updated);prep_full;SMOTE (Oversampling);BoW;(1, 1);9411;0.710691823899371;0.6696934578390858;"BoW
(1, 1)"
71;FFNN (Updated);prep_full;SMOTE (Oversampling);TF-IDF;(1, 1);9411;0.7148846960167715;0.6882371743482855;"TF-IDF
(1, 1)"
72;Naive Bayes;prep_full;SMOTETomek (Combined);BoW;(1, 1);9411;0.6834381551362684;0.6233030967139095;"BoW
(1, 1)"
73;Naive Bayes;prep_full;SMOTETomek (Combined);TF-IDF;(1, 1);9411;0.6582809224318659;0.6183149614060058;"TF-IDF
(1, 1)"
74;FFNN (Updated);prep_full;SMOTETomek (Combined);BoW;(1, 1);9411;0.6876310272536688;0.6390493336531323;"BoW
(1, 1)"
75;FFNN (Updated);prep_full;SMOTETomek (Combined);TF-IDF;(1, 1);9411;0.7285115303983228;0.6583894898273847;"TF-IDF
(1, 1)"
76;Naive Bayes;prep_full;Tomek (Undersampling);BoW;(1, 1);9411;0.7222222222222222;0.6405426054030029;"BoW
(1, 1)"
77;Naive Bayes;prep_full;Tomek (Undersampling);TF-IDF;(1, 1);9411;0.6907756813417191;0.48452741797701;"TF-IDF
(1, 1)"
78;FFNN (Updated);prep_full;Tomek (Undersampling);BoW;(1, 1);9411;0.7484276729559748;0.7039212242472495;"BoW
(1, 1)"
79;FFNN (Updated);prep_full;Tomek (Undersampling);TF-IDF;(1, 1);9411;0.7306079664570231;0.68465149806789;"TF-IDF
(1, 1)"
80;Naive Bayes;prep_full;None (Imbalanced);BoW;(1, 2);42101;0.7243186582809225;0.61282954255496;"BoW
(1, 2)"
81;Naive Bayes;prep_full;None (Imbalanced);TF-IDF;(1, 2);42101;0.6677148846960168;0.43573199325660744;"TF-IDF
(1, 2)"
82;FFNN (Updated);prep_full;None (Imbalanced);BoW;(1, 2);42101;0.759958071278826;0.6955386302414838;"BoW
(1, 2)"
83;FFNN (Updated);prep_full;None (Imbalanced);TF-IDF;(1, 2);42101;0.7536687631027253;0.7051468239865294;"TF-IDF
(1, 2)"
84;Naive Bayes;prep_full;SMOTE (Oversampling);BoW;(1, 2);42101;0.70020964360587;0.6195856922084183;"BoW
(1, 2)"
85;Naive Bayes;prep_full;SMOTE (Oversampling);TF-IDF;(1, 2);42101;0.6771488469601677;0.635072869284623;"TF-IDF
(1, 2)"
86;FFNN (Updated);prep_full;SMOTE (Oversampling);BoW;(1, 2);42101;0.7169811320754716;0.6587455631586797;"BoW
(1, 2)"
87;FFNN (Updated);prep_full;SMOTE (Oversampling);TF-IDF;(1, 2);42101;0.7348008385744235;0.6797048288912834;"TF-IDF
(1, 2)"
88;Naive Bayes;prep_full;SMOTETomek (Combined);BoW;(1, 2);42101;0.7023060796645703;0.6228499130010685;"BoW
(1, 2)"
89;Naive Bayes;prep_full;SMOTETomek (Combined);TF-IDF;(1, 2);42101;0.6771488469601677;0.6348601828811978;"TF-IDF
(1, 2)"
90;FFNN (Updated);prep_full;SMOTETomek (Combined);BoW;(1, 2);42101;0.7033542976939203;0.6607736904715217;"BoW
(1, 2)"
91;FFNN (Updated);prep_full;SMOTETomek (Combined);TF-IDF;(1, 2);42101;0.750524109014675;0.6951196040235614;"TF-IDF
(1, 2)"
92;Naive Bayes;prep_full;Tomek (Undersampling);BoW;(1, 2);42101;0.7253668763102725;0.6158239204094081;"BoW
(1, 2)"
