;Model;Strategy;Vectorizer;N-Gram;Sampling Strategy;Accuracy;Macro-F1;Sampled_Hyperparameters;Vec_N-Gram
38;Naive Bayes;prep_standard;TF-IDF;(1, 1);Tomek (Undersampling);0.683105981112277;0.4907533258707198;{'alpha': 1.0, 'fit_prior': True};"TF-IDF
(1, 1)"
39;FFNN;prep_standard;TF-IDF;(1, 1);Tomek (Undersampling);0.7460650577124869;0.7017040233176894;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 1)"
40;Naive Bayes;prep_standard;TF-IDF;(1, 2);None (Imbalanced);0.7135362014690452;0.6148254166449826;{'alpha': 0.1, 'fit_prior': True};"TF-IDF
(1, 2)"
41;FFNN;prep_standard;TF-IDF;(1, 2);None (Imbalanced);0.7072402938090241;0.661672154166129;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 2)"
42;Naive Bayes;prep_standard;TF-IDF;(1, 2);SMOTE (Oversampling);0.6967471143756558;0.6206335451900992;{'alpha': 0.01, 'fit_prior': True};"TF-IDF
(1, 2)"
43;FFNN;prep_standard;TF-IDF;(1, 2);SMOTE (Oversampling);0.7219307450157397;0.6644443377113468;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 2)"
44;Naive Bayes;prep_standard;TF-IDF;(1, 2);SMOTETomek (Combined);0.6852046169989506;0.6334852312093534;{'alpha': 1.0, 'fit_prior': False};"TF-IDF
(1, 2)"
45;FFNN;prep_standard;TF-IDF;(1, 2);SMOTETomek (Combined);0.7292759706190975;0.6825671723856265;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 2)"
46;Naive Bayes;prep_standard;TF-IDF;(1, 2);Tomek (Undersampling);0.7061909758656874;0.5895653714002337;{'alpha': 0.5, 'fit_prior': True};"TF-IDF
(1, 2)"
47;FFNN;prep_standard;TF-IDF;(1, 2);Tomek (Undersampling);0.7219307450157397;0.6725595793414807;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 2)"
48;Naive Bayes;prep_standard;TF-IDF;(1, 3);None (Imbalanced);0.7040923399790137;0.6526837995140272;{'alpha': 0.1, 'fit_prior': False};"TF-IDF
(1, 3)"
49;FFNN;prep_standard;TF-IDF;(1, 3);None (Imbalanced);0.7313746065057712;0.6788731866940184;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 3)"
50;Naive Bayes;prep_standard;TF-IDF;(1, 3);SMOTE (Oversampling);0.6946484784889821;0.6213965293626643;{'alpha': 0.01, 'fit_prior': True};"TF-IDF
(1, 3)"
51;FFNN;prep_standard;TF-IDF;(1, 3);SMOTE (Oversampling);0.7166841552990556;0.6683759293735413;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 3)"
52;Naive Bayes;prep_standard;TF-IDF;(1, 3);SMOTETomek (Combined);0.6925498426023085;0.6190787850407272;{'alpha': 0.01, 'fit_prior': True};"TF-IDF
(1, 3)"
53;FFNN;prep_standard;TF-IDF;(1, 3);SMOTETomek (Combined);0.7376705141657922;0.685602739581379;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 3)"
54;Naive Bayes;prep_standard;TF-IDF;(1, 3);Tomek (Undersampling);0.6988457502623295;0.5620130676625452;{'alpha': 1.0, 'fit_prior': True};"TF-IDF
(1, 3)"
55;FFNN;prep_standard;TF-IDF;(1, 3);Tomek (Undersampling);0.70199370409234;0.6475649833894878;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 3)"
56;Naive Bayes;prep_standard;TF-IDF;(1, 4);None (Imbalanced);0.7082896117523609;0.640908844566064;{'alpha': 0.5, 'fit_prior': False};"TF-IDF
(1, 4)"
57;FFNN;prep_standard;TF-IDF;(1, 4);None (Imbalanced);0.720881427072403;0.6758688880439583;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 4)"
58;Naive Bayes;prep_standard;TF-IDF;(1, 4);SMOTE (Oversampling);0.7009443861490031;0.634394973172289;{'alpha': 0.1, 'fit_prior': True};"TF-IDF
(1, 4)"
59;FFNN;prep_standard;TF-IDF;(1, 4);SMOTE (Oversampling);0.7229800629590766;0.661010800041942;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 4)"
60;Naive Bayes;prep_standard;TF-IDF;(1, 4);SMOTETomek (Combined);0.6988457502623295;0.6430395718919175;{'alpha': 1.0, 'fit_prior': True};"TF-IDF
(1, 4)"
61;FFNN;prep_standard;TF-IDF;(1, 4);SMOTETomek (Combined);0.727177334732424;0.6698349873976056;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 4)"
62;Naive Bayes;prep_standard;TF-IDF;(1, 4);Tomek (Undersampling);0.7040923399790137;0.6481719778039082;{'alpha': 0.1, 'fit_prior': False};"TF-IDF
(1, 4)"
63;FFNN;prep_standard;TF-IDF;(1, 4);Tomek (Undersampling);0.727177334732424;0.6737703155624072;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"TF-IDF
(1, 4)"
64;Naive Bayes;prep_full;BoW;(1, 1);None (Imbalanced);0.7072402938090241;0.6479013180571096;{'alpha': 0.5, 'fit_prior': True};"BoW
(1, 1)"
65;FFNN;prep_full;BoW;(1, 1);None (Imbalanced);0.7565582371458552;0.7059050282661081;{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
66;Naive Bayes;prep_full;BoW;(1, 1);SMOTE (Oversampling);0.6631689401888772;0.605909231310705;{'alpha': 0.1, 'fit_prior': False};"BoW
(1, 1)"
