;Model;Strategy;Vectorizer;N-Gram;Sampling Strategy;Accuracy;Macro-F1;Sampled_Hyperparameters;Vec_N-Gram
32;FFNN;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.689401888772298;0.6470269589317208;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
33;FFNN;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.6621196222455404;0.6306307077137202;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
34;FFNN;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.6610703043022036;0.6092928147772013;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
35;FFNN;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.6883525708289612;0.6364023826793548;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
36;FFNN;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.6694648478488983;0.6182518916098251;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
37;FFNN;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.6768100734522561;0.6305391338770451;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.001, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
38;FFNN;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.6768100734522561;0.6316958493063837;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
39;FFNN;prep_standard;BoW;(1, 1);SMOTE (Oversampling);0.6736621196222455;0.6212936169615024;{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
40;Naive Bayes;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6453305351521511;0.5815550450180877;{'alpha': 0.1, 'fit_prior': True};"BoW
(1, 1)"
41;Naive Bayes;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6589716684155299;0.5981824753104951;{'alpha': 0.5, 'fit_prior': True};"BoW
(1, 1)"
42;Naive Bayes;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6369359916054564;0.5635046529899111;{'alpha': 0.01, 'fit_prior': True};"BoW
(1, 1)"
43;Naive Bayes;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6589716684155299;0.5981824753104951;{'alpha': 0.5, 'fit_prior': True};"BoW
(1, 1)"
44;Naive Bayes;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6369359916054564;0.5635046529899111;{'alpha': 0.01, 'fit_prior': False};"BoW
(1, 1)"
45;Naive Bayes;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6453305351521511;0.5815550450180877;{'alpha': 0.1, 'fit_prior': True};"BoW
(1, 1)"
46;Naive Bayes;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6369359916054564;0.5635046529899111;{'alpha': 0.01, 'fit_prior': True};"BoW
(1, 1)"
47;Naive Bayes;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6369359916054564;0.5635046529899111;{'alpha': 0.01, 'fit_prior': True};"BoW
(1, 1)"
48;Naive Bayes;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6453305351521511;0.5815550450180877;{'alpha': 0.1, 'fit_prior': False};"BoW
(1, 1)"
49;Naive Bayes;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6369359916054564;0.5635046529899111;{'alpha': 0.01, 'fit_prior': True};"BoW
(1, 1)"
50;FFNN;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.7093389296956978;0.6566709170010565;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
51;FFNN;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.7061909758656874;0.6535595548174165;{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 128, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
52;FFNN;prep_standard;BoW;(1, 1);SMOTETomek (Combined);0.6841552990556139;0.634166531375106;{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'learning_rate_init': 0.005, 'max_iter': 100, 'patience': 10, 'random_state': 42, 'early_stopping': True};"BoW
(1, 1)"
