Model;Strategy;Vectorizer;N-Gram;Sampling Strategy;Accuracy;Macro-F1;Sampled_Hyperparameters
Naive Bayes;prep_masked;TF-IDF;(1, 1);None (Imbalanced);0.6946484784889821;0.5962048973003643;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_masked;TF-IDF;(1, 1);SMOTE (Oversampling);0.6589716684155299;0.617943320083529;{'alpha': 0.5, 'fit_prior': True}
Naive Bayes;prep_masked;TF-IDF;(1, 1);SMOTETomek (Combined);0.664218258132214;0.6135003342935057;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_masked;TF-IDF;(1, 1);Tomek (Undersampling);0.6852046169989506;0.48871928518242735;{'alpha': 1.0, 'fit_prior': True}
Naive Bayes;prep_masked;TF-IDF;(1, 2);None (Imbalanced);0.7114375655823715;0.6718557457345812;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_masked;TF-IDF;(1, 2);SMOTE (Oversampling);0.7072402938090241;0.6586608489005066;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_masked;TF-IDF;(1, 2);SMOTETomek (Combined);0.695697796432319;0.6523008704105863;{'alpha': 1.0, 'fit_prior': True}
Naive Bayes;prep_masked;TF-IDF;(1, 2);Tomek (Undersampling);0.7177334732423925;0.6405283391844465;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_masked;TF-IDF;(1, 3);None (Imbalanced);0.727177334732424;0.6722073599242009;{'alpha': 1.0, 'fit_prior': False}
Naive Bayes;prep_masked;TF-IDF;(1, 3);SMOTE (Oversampling);0.7051416579223505;0.659067728418808;{'alpha': 1.0, 'fit_prior': False}
Naive Bayes;prep_masked;TF-IDF;(1, 3);SMOTETomek (Combined);0.7051416579223505;0.6592220905392189;{'alpha': 1.0, 'fit_prior': True}
Naive Bayes;prep_masked;TF-IDF;(1, 3);Tomek (Undersampling);0.7303252885624344;0.6512837530364531;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_masked;TF-IDF;(1, 4);None (Imbalanced);0.7355718782791185;0.6769974169242444;{'alpha': 1.0, 'fit_prior': False}
Naive Bayes;prep_masked;TF-IDF;(1, 4);SMOTE (Oversampling);0.70199370409234;0.6369426934559681;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_masked;TF-IDF;(1, 4);SMOTETomek (Combined);0.7145855194123819;0.6619718241883813;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_masked;TF-IDF;(1, 4);Tomek (Undersampling);0.7177334732423925;0.5913150008568743;{'alpha': 1.0, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;BoW;(1, 1);None (Imbalanced);0.7072402938090241;0.639486833660928;{'alpha': 1.0, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;BoW;(1, 1);SMOTE (Oversampling);0.6694648478488983;0.6073756183570871;{'alpha': 0.5, 'fit_prior': False}
Naive Bayes;prep_standard_numbers;BoW;(1, 1);SMOTETomek (Combined);0.664218258132214;0.5961516608985428;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;BoW;(1, 1);Tomek (Undersampling);0.7072402938090241;0.6387732524733701;{'alpha': 1.0, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;BoW;(1, 2);None (Imbalanced);0.695697796432319;0.6151558076541312;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;BoW;(1, 2);SMOTE (Oversampling);0.6873032528856243;0.5989338601938093;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;BoW;(1, 2);SMOTETomek (Combined);0.6820566631689402;0.5920536038258767;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_standard_numbers;BoW;(1, 2);Tomek (Undersampling);0.6810073452256034;0.628123586641277;{'alpha': 1.0, 'fit_prior': False}
Naive Bayes;prep_standard_numbers;BoW;(1, 3);None (Imbalanced);0.6946484784889821;0.631620342672683;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_standard_numbers;BoW;(1, 3);SMOTE (Oversampling);0.6820566631689402;0.5851907538567879;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;BoW;(1, 3);SMOTETomek (Combined);0.6915005246589717;0.6027532858043552;{'alpha': 1.0, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;BoW;(1, 3);Tomek (Undersampling);0.6977964323189927;0.6376759936329237;{'alpha': 1.0, 'fit_prior': False}
Naive Bayes;prep_standard_numbers;BoW;(1, 4);None (Imbalanced);0.70199370409234;0.6309428387319848;{'alpha': 1.0, 'fit_prior': False}
Naive Bayes;prep_standard_numbers;BoW;(1, 4);SMOTE (Oversampling);0.6820566631689402;0.5819694992108785;{'alpha': 1.0, 'fit_prior': False}
Naive Bayes;prep_standard_numbers;BoW;(1, 4);SMOTETomek (Combined);0.6841552990556139;0.5810854441858834;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;BoW;(1, 4);Tomek (Undersampling);0.7124868835257083;0.627132967320996;{'alpha': 0.5, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;TF-IDF;(1, 1);None (Imbalanced);0.689401888772298;0.5958051339033682;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;TF-IDF;(1, 1);SMOTE (Oversampling);0.6663168940188877;0.6216777459717256;{'alpha': 0.5, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;TF-IDF;(1, 1);SMOTETomek (Combined);0.6453305351521511;0.5757433639380841;{'alpha': 0.01, 'fit_prior': False}
Naive Bayes;prep_standard_numbers;TF-IDF;(1, 1);Tomek (Undersampling);0.70199370409234;0.611225416104976;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;TF-IDF;(1, 2);None (Imbalanced);0.70199370409234;0.5988399236971294;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;TF-IDF;(1, 2);SMOTE (Oversampling);0.6967471143756558;0.6206335451900992;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_standard_numbers;TF-IDF;(1, 2);SMOTETomek (Combined);0.7009443861490031;0.6378780246838264;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_standard_numbers;TF-IDF;(1, 2);Tomek (Undersampling);0.7030430220356768;0.6059101548143324;{'alpha': 0.01, 'fit_prior': True}
